from,to,weight,time,relationship
fynn,vivaconaqua,,2,2
vivaconaqua,fynn,,2,2
fynn,toom,,1,2
toom,fynn,,1,2
fynn,jever,,2,2
jever,fynn,,2,2
fynn,berentzen,,,2
berentzen,fynn,,,2
fynn,ewe,,2,2
ewe,fynn,,2,2
fynn,tomorrow,,,2
tomorrow,fynn,,,2
fynn,aboutyou,,2,2
aboutyou,fynn,,2,2
tafel,fynn,,,2
fynn,tafel,,,2
vaay,fynn,,1,2
fynn,vaay,,1,2
stpauli,fynn,,,2
fynn,stpauli,,,2
nordpool,fynn,,,2
fynn,nordpool,,,2
ndr,fynn,,,2
fynn,ndr,,,2
greenlife,fynn,,,2
fynn,greenlife,,,2
funk,fynn,,4,2
fynn,funk,,4,2
fynn,agantty,,,1
fkvv,fynn,,,1
fynn,fkvv,,,1
floss,fynn,,,1
fynn,floss,,,1
fynn,oderso,,,1
fynn,texas,,,1
fynn,twofingers,,,1
fynn,kliemannsland,,7,1
fynn,herrlich,,,1
fynn,ldgg,,,1
bottmann,herrlich,,,1
bottmann,agantty,,,1
tietjen,twofingers,,,1
schäfer,kliemannsland,,7,1
frank,kliemannsland,,7,1
junker,kliemannsland,,7,1
dahl,erdbeerhof,,,1
dahl,karlsinvestions,,,1
erdbeerhof,karlsinvestions,,,5
dahl,kliemannsland,,2,4
karlsinvestions,kliemannsland,,2,3
illbruck,globaltactics,,5,1
globaltactics,oderso,,,7
globaltactics,aboutyou,,,7
oderso,globaltactics,,,6
aboutyou,globaltactics,,,6
joko,kliemannsland,,,3
daur,kliemannsland,,,3
westermeyer,kliemannsland,,,3
kantereit,kliemannsland,,,3
müller,kliemannsland,,,3
vivaconaqua,kliemannsland,,,4